"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "JavaScript React", "HTML", "XML", "Less", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\test\myReact\myreact\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Administrator\Desktop\test\myReact\myreact\craco.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 2, 20
"c:\Users\Administrator\Desktop\test\myReact\myreact\package-lock.json", "JSON", 0, 0, 0, 28647, 0, 0, 0, 0, 0, 1, 28648
"c:\Users\Administrator\Desktop\test\myReact\myreact\package.json", "JSON", 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"c:\Users\Administrator\Desktop\test\myReact\myreact\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\Administrator\Desktop\test\myReact\myreact\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\App.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 1, 3, 99
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\App.less", "Less", 0, 0, 0, 0, 0, 0, 0, 41, 35, 16, 92
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\Day02_childrenComponent\ChildComponent1.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 22, 15, 91
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\Day02_childrenComponent\ChildComponent2.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 9, 9, 63
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\Day03_父子组件传值\子传父.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 9, 70
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\Day03_父子组件传值\父传子.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\Day03_自定义钩子\useTimeout.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Administrator\Desktop\test\myReact\myreact\src\Day04_二级路由\1_1.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
